basin_name,scn,region_name,location_name,latitude,longitude,number,basin_water_office_data_filename,datatype,the_geom,cartodb_id,created_at,updated_at,has_data
Lake Rukwa Basin,3A16A,Lupa,Lupa Market,-7.95,33,8,,,0101000020E61000000000000000804040CDCCCCCCCCCC1FC0,27,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB4,Kilombero,Ifwema,-9.0167,36.0056,44,,,0101000020E6100000C66D3480B7004240B8AF03E78C0822C0,82,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB17,Kilombero,Swero,-8.2,37,53,,,0101000020E6100000000000000080424066666666666620C0,85,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB2,Kilombero,Ifakara,-8.15,36.6333,43,,,0101000020E6100000454772F90F514240CDCCCCCCCC4C20C0,88,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA9,Kimani,Gt.N.Road,-9.85,34.1833,10,,,0101000020E6100000ACADD85F761741403333333333B323C0,91,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA42,Kisigo,Kinuguru,-6.9667,35.4167,28,,,0101000020E6100000211FF46C56B541403D2CD49AE6DD1BC0,93,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA16,Liosi,Igulusi,-8.8333,33.85,15,,,0101000020E6100000CDCCCCCCCCEC40407B832F4CA6AA21C0,94,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA32A,Lt. Ruaha,Makalala,-8.3333,35.3333,22,,,0101000020E6100000DFE00B93A9AA41407B832F4CA6AA20C0,96,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA39A,Lt. Ruaha,U/S Iwawa,-8.05,35.6833,26,,,0101000020E6100000ACADD85F76D741409A999999991920C0,98,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA2A,Lt. Ruaha,Iringa Ndiuka,-7.7833,35.7167,5,,,0101000020E610000088855AD3BCDB4140C3D32B6519221FC0,100,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA31,Lt. Ruaha,Mawande,-7.5,35.5,21,,,0101000020E61000000000000000C041400000000000001EC0,103,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA21A,Lt.Ruaha,Ihimbu,-7.8833,35.8,17,,,0101000020E61000006666666666E641402A3A92CB7F881FC0,105,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB29,Luhombero,Luhombero,-8.7444,37.1778,65,,,0101000020E6100000499D8026C2964240E9482EFF217D21C0,106,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA37A,Lukosi,Mtandika,-7.5667,36.4333,24,,,0101000020E6100000ACADD85F76374240A3923A014D441EC0,107,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB14A,Lumemo,Kiburubutu,-8.1222,36.7222,49,,,0101000020E6100000EA95B20C715C4240742497FF903E20C0,109,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA16A,Lunwa,Igurusi,-8.9194,33.9556,16,,,0101000020E61000005F07CE1951FA404082E2C798BBD621C0,111,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA67,Mamio,Kalanzi,-8.8889,33.85,42,,,0101000020E6100000CDCCCCCCCCEC40402CD49AE61DC721C0,112,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA11A,Mbarali,Igawa,-8.7833,34.3667,12,,,0101000020E6100000BBB88D06F02E4140E2E995B20C9121C0,114,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB12A,Mchilipa,U/S Utete,-8.7611,36.4778,48,,,0101000020E6100000B003E78C283D4240A1F831E6AE8521C0,116,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA65,Meta,Napunga,-8.8167,33.9,40,,,0101000020E61000003333333333F3404052499D8026A221C0,118,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3CC2,Mfwizi,Mtatumbila,-7.55,31.1667,23,,,0101000020E6100000423EE8D9AC2A3F403333333333331EC0,28,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3CC3,Mfwizi,Paramawe,-7.2833,31.0833,24,,,0101000020E6100000BEC1172653153F40C3D32B6519221DC0,29,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3DA4,Mise,Ijajiri,-7.2333,32.9917,31,,,0101000020E6100000BBB88D06F07E404090A0F831E6EE1CC0,30,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB15A,Mgeta,U/S Bridge,-8.3611,36.1111,51,,,0101000020E6100000F54A5986380E4240D42B6519E2B820C0,119,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB15,Mgeta,D/S Mchombe Mis,-8.3333,36.1167,50,,,0101000020E6100000BBB88D06F00E42407B832F4CA6AA20C0,121,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA10A,Mlomboji,Mlomboji,-8.7833,34.35,11,,,0101000020E6100000CDCCCCCCCC2C4140E2E995B20C9121C0,123,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA66,Mlowo,Ilongo,-8.8389,33.8333,41,,,0101000020E6100000DFE00B93A9EA4040933A014D84AD21C0,124,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB9,Mnyera,U/S Taveta Miss,-9.0167,35.5167,46,,,0101000020E6100000EEEBC03923C24140B8AF03E78C0822C0,125,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB8,Mpanga,Mpanga Mission,-8.9778,35.9278,45,,,0101000020E6100000499D8026C2F64140BF0E9C33A2F421C0,129,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA50B,Mswiswi,Wilima,-8.8694,33.7667,31,,,0101000020E6100000EEEBC03923E24040E9482EFF21BD21C0,131,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA50A,Mswiswi,Wilima,-8.7833,33.8667,30,,,0101000020E6100000BBB88D06F0EE4040E2E995B20C9121C0,132,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA22,Mtitu,Mtitu,-8.0167,35.7833,18,,,0101000020E6100000787AA52C43E44140B8AF03E78C0820C0,133,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA57A,Mwega,Malolo,-7.4,36.6,33,,,0101000020E6100000CDCCCCCCCC4C42409A99999999991DC0,134,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB25,Nangaje,Nangaje,-8.1167,36.6833,60,,,0101000020E6100000ACADD85F76574240EBE2361AC03B20C0,135,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA15A,Ndembera,Ilonga,-8.2833,35.3111,14,,,0101000020E61000008FE4F21FD2A74140E2E995B20C9120C0,137,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA33A,Ndembera,Madibira,-8.2333,34.8,23,,,0101000020E610000066666666666641404850FC18737720C0,139,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA63,Nyabu,Loje,-6.8667,35.9333,38,,,0101000020E6100000ACADD85F76F74140D6C56D3480771BC0,140,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA56,Ruaha,Malangali,-8.6333,34.85,32,,,0101000020E6100000CDCCCCCCCC6C4140151DC9E53F4421C0,141,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1K4A,Rufiji,D/S Utete,-8,38.75,3,,,0101000020E6100000000000000060434000000000000020C0,142,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3A14A,Mlowu,Gt.North Rd.,-9,33,6,,,0101000020E6100000000000000080404000000000000022C0,31,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B2,Momba,DS con Mtembwa,-8.6833,32.3833,12,,,0101000020E6100000454772F90F314040AEB6627FD95D21C0,32,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B8,Mpemba,Gt.North Rd.,-9.2333,32.8333,14,,,0101000020E6100000DFE00B93A96A40404850FC18737722C0,33,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
"Wami, Ruva and Coast",1GD36,Mkata,Mkata,-6.8806,37.3861,21,,,0101000020E6100000287E8CB96BB142402F6EA301BC851BC0,174,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
"Wami, Ruva and Coast",1GD32,Mkondoa,Railway Bridge,-6.8556,37.05,17,,,0101000020E6100000666666666686424095D40968226C1BC0,175,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
"Wami, Ruva and Coast",1GD2,Mkondoa,Kilosa,-6.8333,37,9,,,0101000020E61000000000000000804240F7065F984C551BC0,176,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
"Wami, Ruva and Coast",1GD29,Mkondoa,Mbarahwe,-6.7083,36.7833,14,,,0101000020E6100000787AA52C43644240F7065F984CD51AC0,177,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
